000000.png,2,479.0,259.0             ,500.0,282.0             ,2    ,480.0             ,283.0            ,501.0             ,303.0             ,0
000001.png,2,554.0,231.0             ,597.0,270.0             ,1    ,561.0             ,272.0            ,594.0             ,302.0             ,1
000002.png,2,572.0,218.0             ,631.0,250.0             ,0    ,572.0             ,251.0            ,628.0             ,281.0             ,0
000003.png,1,659.0,182.0             ,717.0,244.0             ,3
000004.png,2,568.0,223.0             ,620.0,252.0             ,0    ,571.0             ,255.0            ,621.0             ,278.0             ,0
000005.png,1,658.0,268.0             ,678.0,287.0             ,1
000006.png,1,623.0,171.0             ,718.0,263.0             ,1
000007.png,1,410.0,248.0             ,444.0,283.0             ,2
000008.png,1,6.0  ,169.0             ,46.0 ,215.0             ,1
000009.png,1,646.0,221.0             ,714.0,295.0             ,0
000010.png,1,522.0,226.0             ,576.0,280.0             ,10
000011.png,2,438.0,244.0             ,464.0,270.0             ,3    ,441.0             ,272.0            ,465.0             ,298.0             ,0
000012.png,1,570.0,236.0             ,610.0,281.0             ,12
000013.png,1,558.0,230.0             ,580.0,254.0             ,5
000014.png,2,487.0,254.0             ,513.0,281.0             ,6    ,489.0             ,281.0            ,511.0             ,302.0             ,5
000015.png,3,640.0,131.0             ,712.0,211.0             ,15   ,640.0             ,212.0            ,710.0             ,253.0             ,17                ,640.0,254.0             ,709.0,293.0             ,17
000016.png,1,8.0  ,227.0             ,51.0 ,281.0             ,0
000017.png,1,594.0,233.0             ,655.0,252.0             ,13
000018.png,1,539.0,174.0             ,577.0,217.0             ,5
000019.png,1,571.0,229.0             ,589.0,271.0             ,16
000020.png,1,433.0,234.0             ,474.0,279.0             ,9
000021.png,1,672.0,210.0             ,706.0,255.0             ,16
000022.png,1,596.0,188.0             ,687.0,237.0             ,7
000023.png,1,419.0,272.0             ,443.0,294.0             ,9
000024.png,1,633.0,206.0             ,718.0,302.0             ,3
000025.png,2,120.0,215.0             ,167.0,265.0             ,15   ,127.0             ,266.0            ,161.0             ,285.0             ,17
000026.png,1,427.0,239.0             ,459.0,271.0             ,2
000027.png,1,666.0,206.0             ,714.0,259.0             ,12
000028.png,1,575.0,221.0             ,632.0,279.0             ,12
000029.png,1,483.0,262.0             ,512.0,279.0             ,17
000030.png,1,488.0,231.0             ,534.0,272.0             ,1
000031.png,1,478.0,249.0             ,533.0,287.0             ,7
000032.png,1,435.0,264.0             ,463.0,292.0             ,0
000033.png,1,541.0,205.0             ,607.0,271.0             ,10
000034.png,1,472.0,238.0             ,499.0,267.0             ,19
000035.png,2,565.0,231.0             ,628.0,295.0             ,8    ,562.0             ,295.0            ,626.0             ,355.0             ,1
000036.png,1,595.0,240.0             ,618.0,263.0             ,0
000037.png,2,577.0,218.0             ,607.0,248.0             ,6    ,576.0             ,248.0            ,608.0             ,279.0             ,1
000038.png,1,474.0,207.0             ,531.0,265.0             ,1
000039.png,2,649.0,63.0              ,708.0,126.0             ,15   ,651.0             ,127.0            ,709.0             ,160.0             ,17
000040.png,1,616.0,143.0             ,711.0,248.0             ,12
000041.png,1,499.0,285.0             ,520.0,306.0             ,9
000042.png,1,7.0  ,305.0             ,51.0 ,320.0             ,4
000043.png,1,548.0,248.0             ,608.0,274.0             ,7
000044.png,1,610.0,265.0             ,694.0,312.0             ,4
000045.png,1,483.0,122.0             ,526.0,168.0             ,18
000046.png,1,615.0,278.0             ,690.0,304.0             ,4
000047.png,1,530.0,201.0             ,571.0,239.0             ,1
000048.png,1,703.0,268.0             ,717.0,282.0             ,19
000049.png,1,598.0,281.0             ,648.0,299.0             ,4
000050.png,1,563.0,224.0             ,613.0,275.0             ,6
000051.png,2,442.0,234.0             ,469.0,260.0             ,1    ,444.0             ,261.0            ,468.0             ,285.0             ,8
000052.png,1,593.0,240.0             ,616.0,266.0             ,0
000053.png,1,517.0,206.0             ,569.0,260.0             ,3
000054.png,1,625.0,190.0             ,702.0,212.0             ,13
000055.png,1,356.0,263.0             ,377.0,288.0             ,19
000056.png,1,498.0,258.0             ,524.0,288.0             ,5
000057.png,1,520.0,250.0             ,560.0,295.0             ,9
000058.png,1,605.0,89.0              ,710.0,194.0             ,1
000059.png,1,566.0,171.0             ,704.0,303.0             ,13
000060.png,1,591.0,220.0             ,616.0,262.0             ,5
000061.png,1,447.0,251.0             ,468.0,273.0             ,9
000062.png,1,634.0,207.0             ,700.0,281.0             ,9
000063.png,1,259.0,212.0             ,298.0,252.0             ,13
000064.png,1,644.0,178.0             ,712.0,254.0             ,15
000065.png,1,439.0,256.0             ,464.0,281.0             ,1
000066.png,1,528.0,254.0             ,566.0,275.0             ,11
000067.png,1,535.0,219.0             ,586.0,273.0             ,9
000068.png,1,460.0,266.0             ,486.0,290.0             ,0
000069.png,1,492.0,254.0             ,520.0,297.0             ,5
000070.png,2,416.0,259.0             ,438.0,281.0             ,8    ,418.0             ,281.0            ,436.0             ,298.0             ,0
000071.png,1,449.0,260.0             ,492.0,282.0             ,7
000072.png,1,539.0,237.0             ,579.0,283.0             ,0
000073.png,2,589.0,258.0             ,619.0,276.0             ,7    ,589.0             ,277.0            ,619.0             ,293.0             ,11
